Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38357345,My Favorite Half-Night Stand,Christina Lauren,"Lauren, Christina",,"=""""","=""""",4,3.74,Gallery Books,Paperback,384,2018,2018,2020/08/22,2020/08/20,,,read,,,,1,0
52765013,Head Over Heels,Hannah Orenstein,"Orenstein, Hannah",,"=""1982121475""","=""9781982121471""",3,3.60,Atria Books,Paperback,336,2020,2020,2020/08/20,2020/08/19,,,read,,,,1,0
36478784,The Flatshare,Beth O'Leary,"O'Leary, Beth",,"=""1787474402""","=""9781787474406""",4,4.01,Quercus,Hardcover,394,2019,2019,2020/08/20,2020/08/19,,,read,,,,1,0
52655000,"Undercover Bromance (Bromance Book Club, #2)",Lyssa Kay Adams,"Adams, Lyssa Kay",,"=""""","=""""",4,3.88,Berkley,Kindle Edition,348,2020,2020,2020/08/18,2020/08/16,,,read,,,,1,0
44019067,"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams,"Adams, Lyssa Kay",,"=""""","=""""",5,3.89,Berkley,Kindle Edition,350,2019,2019,2020/08/16,2020/07/20,,,read,4.5 stars. nothing like a good contemporary romance to read when you're in the verge of  book slump. i liked the premise of 'second chance' tropes and I find it cute that grown ass men who are having troubles with their love life are having a book club dedicated to romance books. I salute gavun and the rest of the men in the book club. Men really need to learn a thing or two lol.,,,1,0
42087766,"Can't Tie Me Down! (Sinclair Sisters, #1)",Janet Elizabeth Henderson,"Henderson, Janet Elizabeth",,"=""""","=""""",4,3.96,,Kindle Edition,234,2018,2018,2020/08/15,2020/08/11,,,read,,,,1,0
33784373,Hunting Prince Dracula (Stalking Jack the Ripper #2),Kerri Maniscalco,"Maniscalco, Kerri",,"=""031655166X""","=""9780316551663""",5,4.22,"Little, Brown & Company",Hardcover,448,2017,2017,2020/08/10,2020/08/09,,,read,,,,1,0
40727470,"Stalking Jack the Ripper (Stalking Jack the Ripper, #1)",Kerri Maniscalco,"Maniscalco, Kerri",,"=""""","=""""",4,3.96,Jimmy Patterson,Kindle Edition,337,2016,2016,2020/08/08,2020/08/07,,,read,"This is my first time reading 'horror' and i am pleasantly surprised that I liked this book. I adored the two main protagonists— Audrey Rose Wadsworth and Thomas Cresswell. I really found Cresswell endearing and the flirtatious banters between the two characters are making me blush profusely. In terms of the plot itself, it was fine. The 'horror' level is only at its minimum so I found myself very immersed in the story and I enjoyed it without getting terrified. Over all, I find this book enjoyable though it's not too astounding to make me rate it five stars.",,,1,0
30969741,An Enchantment of Ravens,Margaret  Rogerson,"Rogerson, Margaret",,"=""1481497588""","=""9781481497589""",4,3.65,Margaret K. McElderry Books,Hardcover,304,2017,2017,2020/08/07,2020/08/05,,,read,3.5 stars.,,,1,0
34499221,"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,"Christo, Alexandra",,"=""1250112680""","=""9781250112682""",5,3.75,Feiwel & Friends,Hardcover,344,2018,2018,2020/08/06,2020/02/01,,,read,,,,1,0
